Tipo de sensor,MÁX,MÍN,MED
Temperatura(ºC),0,0,0,
Velocidade do vento(KM/H),0,0,0,
Direção do vento(º),0,0,0,
Pluviosidade(mm),0,0,0,
Humidade da Atmosfera(%),0,0,0,
Humidade do solo(%),0,0,0,
